t,cam_center_x,face_x_asignada,distancia
20.9000,430.0,430.0,0.0
20.9333,430.0,430.0,0.0
20.9667,430.0,430.0,0.0
21.0000,430.0,430.0,0.0
21.0333,430.0,430.0,0.0
21.0667,430.0,430.0,0.0
21.1000,430.0,430.0,0.0
21.1333,430.0,430.0,0.0
21.1667,430.0,430.0,0.0
21.2000,430.0,430.0,0.0
21.2333,430.0,430.0,0.0
21.2667,430.0,430.0,0.0
21.3000,430.0,430.0,0.0
21.3333,430.0,430.0,0.0
21.3667,430.0,430.0,0.0
21.4000,430.0,430.0,0.0
21.4333,430.0,430.0,0.0
21.4667,430.0,430.0,0.0
21.5000,430.0,430.0,0.0
21.5333,430.0,430.0,0.0
21.5667,430.0,430.0,0.0
21.6000,430.0,430.0,0.0
21.6333,430.0,430.0,0.0
21.6667,430.0,430.0,0.0
21.7000,430.0,430.0,0.0
21.7333,430.0,430.0,0.0
21.7667,430.0,430.0,0.0
21.8000,430.0,430.0,0.0
21.8333,430.0,430.0,0.0
21.8667,430.0,430.0,0.0
21.9000,430.0,430.0,0.0
21.9333,430.0,430.0,0.0
21.9667,430.0,430.0,0.0
22.0000,430.0,430.0,0.0
22.0333,430.0,430.0,0.0
22.0667,430.0,430.0,0.0
22.1000,430.0,430.0,0.0
22.1333,430.0,430.0,0.0
22.1667,430.0,430.0,0.0
22.2000,430.0,430.0,0.0
22.2333,430.0,430.0,0.0
22.2667,430.0,430.0,0.0
22.3000,430.0,430.0,0.0
22.3333,430.0,430.0,0.0
22.3667,430.0,430.0,0.0
22.4000,430.0,430.0,0.0
22.4333,430.0,430.0,0.0
22.4667,430.0,430.0,0.0
22.5000,430.0,430.0,0.0
22.5333,430.0,430.0,0.0
22.5667,430.0,430.0,0.0
22.6000,430.0,430.0,0.0
22.6333,430.0,430.0,0.0
22.6667,430.0,430.0,0.0
22.7000,430.0,430.0,0.0
22.7333,430.0,430.0,0.0
22.7667,430.0,430.0,0.0
22.8000,430.0,430.0,0.0
22.8333,430.0,430.0,0.0
22.8667,430.0,430.0,0.0
22.9000,430.0,430.0,0.0
22.9333,430.0,430.0,0.0
22.9667,430.0,430.0,0.0
23.0000,430.0,430.0,0.0
23.0333,430.0,430.0,0.0
23.0667,430.0,430.0,0.0
23.1000,430.0,430.0,0.0
23.1333,430.0,430.0,0.0
23.1667,430.0,430.0,0.0
23.2000,430.0,430.0,0.0
23.2333,430.0,430.0,0.0
23.2667,430.0,430.0,0.0
23.3000,430.0,430.0,0.0
23.3333,430.0,430.0,0.0
23.3667,430.0,430.0,0.0
23.4000,430.0,430.0,0.0
23.4333,430.0,430.0,0.0
23.4667,430.0,430.0,0.0
23.5000,430.0,430.0,0.0
23.5333,430.0,430.0,0.0
23.5667,430.0,430.0,0.0
23.6000,430.0,430.0,0.0
23.6333,430.0,430.0,0.0
23.6667,430.0,430.0,0.0
23.7000,430.0,430.0,0.0
23.7333,430.0,430.0,0.0
23.7667,430.0,430.0,0.0
23.8000,430.0,430.0,0.0
23.8333,430.0,430.0,0.0
23.8667,430.0,430.0,0.0
23.9000,430.0,430.0,0.0
23.9333,430.0,430.0,0.0
23.9667,430.0,430.0,0.0
24.0000,430.0,430.0,0.0
24.0333,430.0,430.0,0.0
24.0667,430.0,430.0,0.0
24.1000,430.0,430.0,0.0
24.1333,430.0,430.0,0.0
24.1667,430.0,430.0,0.0
24.2000,430.0,430.0,0.0
24.2333,430.0,430.0,0.0
24.2667,430.0,430.0,0.0
24.3000,430.0,430.0,0.0
24.3333,430.0,430.0,0.0
24.3667,430.0,430.0,0.0
24.4000,430.0,430.0,0.0
24.4333,430.0,430.0,0.0
24.4667,430.0,430.0,0.0
24.5000,430.0,430.0,0.0
24.5333,430.0,430.0,0.0
24.5667,430.0,430.0,0.0
24.6000,430.0,430.0,0.0
24.6333,430.0,430.0,0.0
24.6667,430.0,430.0,0.0
24.7000,430.0,430.0,0.0
24.7333,430.0,430.0,0.0
24.7667,430.0,430.0,0.0
24.8000,430.0,430.0,0.0
24.8333,430.0,430.0,0.0
24.8667,430.0,430.0,0.0
24.9000,430.0,430.0,0.0
24.9333,430.0,430.0,0.0
24.9667,430.0,430.0,0.0
25.0000,430.0,430.0,0.0
25.0333,430.0,430.0,0.0
25.0667,430.0,430.0,0.0
25.1000,430.0,430.0,0.0
25.1333,430.0,430.0,0.0
25.1667,430.0,430.0,0.0
25.2000,430.0,430.0,0.0
25.2333,430.0,430.0,0.0
25.2667,430.0,430.0,0.0
25.3000,430.0,430.0,0.0
25.3333,430.0,430.0,0.0
25.3667,430.0,430.0,0.0
25.4000,430.0,430.0,0.0
25.4333,430.0,430.0,0.0
25.4667,430.0,430.0,0.0
25.5000,430.0,430.0,0.0
25.5333,430.0,430.0,0.0
25.5667,430.0,430.0,0.0
25.6000,430.0,430.0,0.0
25.6333,430.0,430.0,0.0
25.6667,430.0,430.0,0.0
25.7000,430.0,430.0,0.0
25.7333,430.0,430.0,0.0
25.7667,430.0,430.0,0.0
25.8000,430.0,430.0,0.0
25.8333,430.0,430.0,0.0
25.8667,430.0,430.0,0.0
25.9000,430.0,430.0,0.0
25.9333,430.0,430.0,0.0
25.9667,430.0,430.0,0.0
